[2022-07-04 15:59:37,999] Register - Step 01: Click the Account link
[2022-07-04 15:59:38,314] Register - Step 02: Click the Register link
[2022-07-04 15:59:42,406] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 15:59:42,472] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 15:59:42,525] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test219967@live.com'
[2022-07-04 15:59:42,569] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 15:59:42,617] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 15:59:42,663] Register - Step 08: Click the Register button
[2022-07-04 15:59:44,386] Register - Step 09: Verify the register success message is displayed
[2022-07-04 15:59:44,429] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 15:59:44,471] Register - Step 11: Verify the email address 'auto_test219967@live.com' is displayed
[2022-07-04 15:59:44,506] Register - Step 12: Click Logout link
[2022-07-04 15:59:46,036] Login - Step 01: Click 'My Account' link
[2022-07-04 15:59:47,233] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test219967@live.com'
[2022-07-04 15:59:47,321] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 15:59:47,395] Login - Step 04: Click Login button
[2022-07-04 15:59:48,658] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 15:59:48,713] Login - Step 06: Verify the email address 'auto_test219967@live.com' is displayed
[2022-07-04 17:27:22,735] Register - Step 01: Click the Account link
[2022-07-04 17:27:23,081] Register - Step 02: Click the Register link
[2022-07-04 17:27:27,405] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:27:27,503] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:27:27,562] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test53974@live.com'
[2022-07-04 17:27:27,619] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:27:27,681] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:27:27,776] Register - Step 08: Click the Register button
[2022-07-04 17:27:29,787] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:27:29,833] ---------------------------------PASSED---------------------------------
[2022-07-04 17:27:29,833] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:27:29,872] ---------------------------------PASSED---------------------------------
[2022-07-04 17:27:29,872] Register - Step 11: Verify the email address 'auto_test53974@live.com' is displayed
[2022-07-04 17:27:29,906] ---------------------------------FAILED---------------------------------
[2022-07-04 17:27:29,906] Register - Step 12: Click Logout link
[2022-07-04 17:27:31,479] Login - Step 01: Click 'My Account' link
[2022-07-04 17:27:32,612] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test53974@live.com'
[2022-07-04 17:27:32,687] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:27:32,752] Login - Step 04: Click Login button
[2022-07-04 17:27:34,089] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:27:34,134] ---------------------------------PASSED---------------------------------
[2022-07-04 17:27:34,135] Login - Step 06: Verify the email address 'auto_test53974@live.com' is displayed
[2022-07-04 17:27:34,174] ---------------------------------FAILED---------------------------------
[2022-07-04 17:36:28,836] Register - Step 01: Click the Account link
[2022-07-04 17:36:29,146] Register - Step 02: Click the Register link
[2022-07-04 17:36:33,417] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:36:33,493] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:36:33,554] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test601524@live.com'
[2022-07-04 17:36:33,610] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:36:33,667] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:36:33,760] Register - Step 08: Click the Register button
[2022-07-04 17:36:35,570] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:36:35,621] ---------------------------------PASSED---------------------------------
[2022-07-04 17:36:35,621] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:36:35,658] ---------------------------------PASSED---------------------------------
[2022-07-04 17:36:35,658] Register - Step 11: Verify the email address 'auto_test601524@live.com' is displayed
[2022-07-04 17:36:35,692] ---------------------------------FAILED---------------------------------
[2022-07-04 17:36:35,693] Register - Step 12: Click Logout link
[2022-07-04 17:36:38,027] Login - Step 01: Click 'My Account' link
[2022-07-04 17:36:39,575] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test601524@live.com'
[2022-07-04 17:36:39,648] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:36:39,701] Login - Step 04: Click Login button
[2022-07-04 17:36:41,088] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:36:41,134] ---------------------------------PASSED---------------------------------
[2022-07-04 17:36:41,134] Login - Step 06: Verify the email address 'auto_test601524@live.com' is displayed
[2022-07-04 17:36:41,168] ---------------------------------FAILED---------------------------------
[2022-07-04 17:40:33,588] Register - Step 01: Click the Account link
[2022-07-04 17:40:33,893] Register - Step 02: Click the Register link
[2022-07-04 17:40:37,681] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:40:37,896] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:40:37,965] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test355230@live.com'
[2022-07-04 17:40:38,029] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:40:38,079] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:40:38,125] Register - Step 08: Click the Register button
[2022-07-04 17:40:39,999] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:40:40,050] ---------------------------------PASSED---------------------------------
[2022-07-04 17:40:40,050] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:40:40,091] ---------------------------------PASSED---------------------------------
[2022-07-04 17:40:40,092] Register - Step 11: Verify the email address 'auto_test355230@live.com' is displayed
[2022-07-04 17:40:40,126] ---------------------------------FAILED---------------------------------
[2022-07-04 17:40:40,127] Register - Step 12: Click Logout link
[2022-07-04 17:40:41,751] Login - Step 01: Click 'My Account' link
[2022-07-04 17:40:42,955] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test355230@live.com'
[2022-07-04 17:40:43,043] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:40:43,109] Login - Step 04: Click Login button
[2022-07-04 17:40:44,410] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:40:44,454] ---------------------------------PASSED---------------------------------
[2022-07-04 17:40:44,454] Login - Step 06: Verify the email address 'auto_test355230@live.com' is displayed
[2022-07-04 17:40:44,488] ---------------------------------FAILED---------------------------------
[2022-07-04 17:41:56,955] Register - Step 01: Click the Account link
[2022-07-04 17:41:57,262] Register - Step 02: Click the Register link
[2022-07-04 17:42:00,673] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:42:00,745] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:42:00,829] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test482904@live.com'
[2022-07-04 17:42:00,890] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:42:01,139] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:42:01,312] Register - Step 08: Click the Register button
[2022-07-04 17:42:03,263] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:42:03,322] ---------------------------------PASSED---------------------------------
[2022-07-04 17:42:03,322] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:42:03,382] ---------------------------------PASSED---------------------------------
[2022-07-04 17:42:03,382] Register - Step 11: Verify the email address 'auto_test482904@live.com' is displayed
[2022-07-04 17:42:03,427] ---------------------------------FAILED---------------------------------
[2022-07-04 17:42:03,427] Register - Step 12: Click Logout link
[2022-07-04 17:42:04,943] Login - Step 01: Click 'My Account' link
[2022-07-04 17:42:06,205] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test482904@live.com'
[2022-07-04 17:42:06,285] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:42:06,362] Login - Step 04: Click Login button
[2022-07-04 17:42:07,694] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:42:07,739] ---------------------------------PASSED---------------------------------
[2022-07-04 17:42:07,739] Login - Step 06: Verify the email address 'auto_test482904@live.com' is displayed
[2022-07-04 17:42:07,781] ---------------------------------FAILED---------------------------------
[2022-07-04 17:48:01,858] Register - Step 01: Click the Account link
[2022-07-04 17:48:02,181] Register - Step 02: Click the Register link
[2022-07-04 17:48:06,172] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:48:06,241] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:48:06,314] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test965368@live.com'
[2022-07-04 17:48:06,372] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:48:06,425] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:48:06,484] Register - Step 08: Click the Register button
[2022-07-04 17:48:08,176] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:48:08,220] ---------------------------------PASSED---------------------------------
[2022-07-04 17:48:08,220] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:48:08,256] ---------------------------------PASSED---------------------------------
[2022-07-04 17:48:08,256] Register - Step 11: Verify the email address 'auto_test965368@live.com' is displayed
[2022-07-04 17:48:08,301] ---------------------------------FAILED---------------------------------
[2022-07-04 17:48:08,302] Register - Step 12: Click Logout link
[2022-07-04 17:48:10,137] Login - Step 01: Click 'My Account' link
[2022-07-04 17:48:11,448] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test965368@live.com'
[2022-07-04 17:48:11,503] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:48:11,604] Login - Step 04: Click Login button
[2022-07-04 17:48:13,060] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:48:13,110] ---------------------------------PASSED---------------------------------
[2022-07-04 17:48:13,111] Login - Step 06: Verify the email address 'auto_test965368@live.com' is displayed
[2022-07-04 17:48:13,165] ---------------------------------FAILED---------------------------------
[2022-07-04 17:51:43,948] Register - Step 01: Click the Account link
[2022-07-04 17:51:44,260] Register - Step 02: Click the Register link
[2022-07-04 17:51:47,540] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-04 17:51:47,687] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-04 17:51:47,853] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test797647@live.com'
[2022-07-04 17:51:47,916] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:51:47,987] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-04 17:51:48,122] Register - Step 08: Click the Register button
[2022-07-04 17:51:49,787] Register - Step 09: Verify the register success message is displayed
[2022-07-04 17:51:49,828] ---------------------------------PASSED---------------------------------
[2022-07-04 17:51:49,828] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:51:49,865] ---------------------------------PASSED---------------------------------
[2022-07-04 17:51:49,866] Register - Step 11: Verify the email address 'auto_test797647@live.com' is displayed
[2022-07-04 17:51:49,912] ---------------------------------PASSED---------------------------------
[2022-07-04 17:51:49,912] Register - Step 12: Click Logout link
[2022-07-04 17:51:51,402] Login - Step 01: Click 'My Account' link
[2022-07-04 17:51:52,838] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test797647@live.com'
[2022-07-04 17:51:52,905] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-04 17:51:52,983] Login - Step 04: Click Login button
[2022-07-04 17:51:54,333] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-04 17:51:54,375] ---------------------------------PASSED---------------------------------
[2022-07-04 17:51:54,375] Login - Step 06: Verify the email address 'auto_test797647@live.com' is displayed
[2022-07-04 17:51:54,406] ---------------------------------PASSED---------------------------------
[2022-07-05 08:34:52,097] Register - Step 01: Click the Account link
[2022-07-05 08:34:52,403] Register - Step 02: Click the Register link
[2022-07-05 08:34:58,378] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
[2022-07-05 08:34:58,478] Register - Step 04: Enter the data for Lastname textbox with value is 'test'
[2022-07-05 08:34:58,560] Register - Step 05: Enter the data for Email Address textbox with value is 'auto_test635273@live.com'
[2022-07-05 08:34:58,644] Register - Step 06: Enter the data for Password textbox with value is '246810'
[2022-07-05 08:34:58,742] Register - Step 07: Enter the data for Confirm password textbox with value is '246810'
[2022-07-05 08:34:58,868] Register - Step 08: Click the Register button
[2022-07-05 08:35:00,683] Register - Step 09: Verify the register success message is displayed
[2022-07-05 08:35:00,728] ---------------------------------PASSED---------------------------------
[2022-07-05 08:35:00,728] Register - Step 10: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-05 08:35:00,763] ---------------------------------PASSED---------------------------------
[2022-07-05 08:35:00,764] Register - Step 11: Verify the email address 'auto_test635273@live.com' is displayed
[2022-07-05 08:35:00,804] ---------------------------------PASSED---------------------------------
[2022-07-05 08:35:00,804] Register - Step 12: Click Logout link
[2022-07-05 08:35:02,418] Login - Step 01: Click 'My Account' link
[2022-07-05 08:35:03,632] Login - Step 02: Enter the data for Email Address textbox with value is 'auto_test635273@live.com'
[2022-07-05 08:35:03,706] Login - Step 03: Enter the data for Password textbox with value is '246810'
[2022-07-05 08:35:03,811] Login - Step 04: Click Login button
[2022-07-05 08:35:05,001] Login - Step 05: Verify the first name 'Cindy' and the lastname 'test' are displayed
[2022-07-05 08:35:05,052] ---------------------------------PASSED---------------------------------
[2022-07-05 08:35:05,052] Login - Step 06: Verify the email address 'auto_test635273@live.com' is displayed
[2022-07-05 08:35:05,088] ---------------------------------PASSED---------------------------------
[2022-07-06 11:08:31,111] Register - Step 01: Click the Account link
[2022-07-06 11:08:31,426] Register - Step 02: Click the Register link
[2022-07-06 11:08:35,969] Register - Step 03: Enter the data for Firstname textbox with value is 'Cindy'
